country,5k_medals,10k_medals,marathon_medals
Algeria,1,0,0
Argentina,0,0,3
Australia,0,3,1
Bahrain,0,0,1
Belgium,1,1,2
Brazil,0,0,1
Burundi,1,0,0
Canada,0,0,1
Chile,0,0,1
China,1,2,1
Czech Republic,2,2,1
Djibouti,0,0,1
Eritrea,0,1,0
Estonia,0,0,1
Ethiopia,15,24,11
Finland,13,15,5
France,3,3,1
Germany,7,1,4
Hungary,0,1,0
Ireland,1,0,1
Italy,1,2,2
Japan,0,0,9
Kenya,14,11,12
Morocco,4,3,2
Netherlands,1,0,1
New Zealand,2,0,3
Norway,0,0,1
Poland,1,1,0
Portugal,1,3,3
Romania,1,0,2
Russia,1,5,4
South Africa,0,1,2
South Korea,0,0,2
Sweden,4,3,2
Switzerland,1,0,0
Tanzania,1,0,0
Tunisia,2,2,0
Turkey,1,0,0
UK,5,6,3
USA,4,4,13
Uganda,0,0,1
